Item,transaction ID
abrasive cleaner,5
abrasive cleaner,33
abrasive cleaner,294
abrasive cleaner,308
abrasive cleaner,637
abrasive cleaner,741
abrasive cleaner,854
abrasive cleaner,867
abrasive cleaner,1147
abrasive cleaner,1228
abrasive cleaner,1340
abrasive cleaner,3026
abrasive cleaner,3148
abrasive cleaner,3974
abrasive cleaner,4031
abrasive cleaner,5610
abrasive cleaner,5809
abrasive cleaner,5966
abrasive cleaner,6169
abrasive cleaner,6320
abrasive cleaner,6404
abrasive cleaner,6681
abrasive cleaner,6740
abrasive cleaner,6753
abrasive cleaner,6868
abrasive cleaner,6904
abrasive cleaner,6927
abrasive cleaner,7359
abrasive cleaner,7542
abrasive cleaner,8173
abrasive cleaner,8280
abrasive cleaner,8930
abrasive cleaner,9077
abrasive cleaner,9766
abrasive cleaner,9790
artif. sweetener,33
artif. sweetener,692
artif. sweetener,852
artif. sweetener,902
artif. sweetener,981
artif. sweetener,999
artif. sweetener,1082
artif. sweetener,1976
artif. sweetener,2130
artif. sweetener,2337
artif. sweetener,2584
artif. sweetener,3572
artif. sweetener,3656
artif. sweetener,4172
artif. sweetener,4190
artif. sweetener,4562
artif. sweetener,4587
artif. sweetener,5033
artif. sweetener,5560
artif. sweetener,5891
artif. sweetener,6986
artif. sweetener,7097
artif. sweetener,7193
artif. sweetener,7610
artif. sweetener,8145
artif. sweetener,8203
artif. sweetener,8504
artif. sweetener,8644
artif. sweetener,9211
artif. sweetener,9341
artif. sweetener,9477
artif. sweetener,9691
baby cosmetics,481
baby cosmetics,1213
baby cosmetics,1490
baby cosmetics,3381
baby cosmetics,4840
baby cosmetics,6631
baby food,1091
bags,1745
bags,2822
bags,5140
bags,9618
baking powder,53
baking powder,146
baking powder,227
baking powder,274
baking powder,405
baking powder,537
baking powder,585
baking powder,587
baking powder,760
baking powder,771
baking powder,796
baking powder,873
baking powder,948
baking powder,952
baking powder,989
baking powder,1001
baking powder,1033
baking powder,1076
baking powder,1201
baking powder,1211
baking powder,1221
baking powder,1254
